stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,['1'],0,[7.909670114517212],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
,,,,,,,,,,,,,,,,,,,space,10.1956140995,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/19.wav,ws/1.wav,2,,,,,0,0,0,6,,,,,None,['1'],0,[7.7595319747924805],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/9.wav,ws/18.wav,1,,,,,0,1,1,3,,,,,None,['2'],0,[0.7519469261169434],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/27.wav,ws/9.wav,2,,,,,0,2,2,11,,,,,None,['2'],0,[0.08476686477661133],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/12.wav,ws/3.wav,2,,,,,0,3,3,7,,,,,None,['2'],0,[0.4515831470489502],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/31.wav,ws/4.wav,2,,,,,0,4,4,9,,,,,None,['2'],0,[2.453997850418091],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/1.wav,ws/10.wav,1,,,,,0,5,5,5,,,,,None,['2'],0,[5.7907538414001465],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/1.wav,ws/34.wav,1,,,,,0,6,6,0,,,,,None,['1'],0,[1.6196320056915283],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
ws/4.wav,ws/13.wav,1,,,,,0,7,7,2,,,,,None,['1'],0,[1.4695441722869873],,,,,,,,2016_Jun_02_1420,59.933355053,Stat_Cat_Oct,001,109,
