stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,['1'],0,[0.684298038482666],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
,,,,,,,,,,,,,,,,,,,space,16.0185251236,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/3.wav,ws/29.wav,1,,,,,0,0,0,1,,,,,None,['1'],0,[1.21913480758667],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/19.wav,ws/1.wav,2,,,,,0,1,1,6,,,,,"['1', '1', '1']",['1'],0,[0.017734050750732422],,,"[1.6184630393981934, 2.3023769855499268, 2.686100959777832]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/31.wav,ws/4.wav,2,,,,,0,2,2,9,,,,,"['2', '2']",['2'],0,[0.21806097030639648],,,"[1.6363639831542969, 2.7874059677124023]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/1.wav,ws/10.wav,1,,,,,0,3,3,5,,,,,"['2', '2']",['2'],0,[0.1347031593322754],,,"[2.337141990661621, 2.787405014038086]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/27.wav,ws/9.wav,2,,,,,0,4,4,11,,,,,"['1', '1']",['1'],0,[0.1346588134765625],,,"[2.320401191711426, 2.754099130630493]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/1.wav,ws/34.wav,1,,,,,0,5,5,0,,,,,['1'],['1'],0,[0.0345149040222168],,,[2.386259078979492],,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/9.wav,ws/18.wav,1,,,,,0,6,6,3,,,,,['1'],"['1', '1']",0,"[0.03444504737854004, 0.2514820098876953]",,,[2.1367368698120117],,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/4.wav,ws/13.wav,1,,,,,0,7,7,2,,,,,"['2', '2']",['2'],0,[0.23586201667785645],,,"[1.736414909362793, 2.822129964828491]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/9.wav,ws/33.wav,1,,,,,0,8,8,4,,,,,"['1', '1']",['1'],0,[0.15234589576721191],,,"[2.37142014503479, 2.8385770320892334]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/22.wav,ws/4.wav,2,,,,,0,9,9,10,,,,,"['1', '1']",None,0,,,,"[2.5717689990997314, 2.85538387298584]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/21.wav,ws/3.wav,2,,,,,0,10,10,8,,,,,"['1', '1', '1']",['1'],0,[0.10222697257995605],,,"[0.11913108825683594, 2.371407985687256, 2.755018949508667]",,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
ws/12.wav,ws/3.wav,2,,,,,0,11,11,7,,,,,None,['1'],0,[0.05233597755432129],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
,,,,,,,,,,,,,,,,,,,,,,space,50.3235731125,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/934.wav,cat/943.wav,1,,,,,,,,,0,0,0,5,,['1'],0,[0.2859518527984619],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/4-18-1.wav,cat/4-1-18.wav,1,,,,,,,,,0,1,1,14,,['2'],0,[0.21712088584899902],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/11-4-9.wav,cat/21-4-9.wav,1,,,,,,,,,0,2,2,9,,['1'],0,[0.25142478942871094],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/16-4-9.wav,cat/11-4-9.wav,2,,,,,,,,,0,3,3,23,,['1'],0,[0.3181579113006592],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/914.wav,cat/941.wav,1,,,,,,,,,0,4,4,4,,None,0,,,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/1-4-13.wav,cat/1-4-16.wav,2,,,,,,,,,0,5,5,21,,['1'],0,[0.2013249397277832],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/1-23-9.wav,cat/1-14-9.wav,2,,,,,,,,,0,6,6,20,,['1'],0,[0.16791796684265137],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/4-16-1.wav,cat/4-1-16.wav,1,,,,,,,,,0,7,7,13,,['1'],0,[0.23506498336791992],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/1-17-9.wav,cat/1-15-9.wav,2,,,,,,,,,0,8,8,19,,['1'],0,[0.2014460563659668],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/3-15-9.wav,cat/3-22-9.wav,1,,,,,,,,,0,9,9,11,,['1'],0,[0.4020049571990967],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/1-14-9.wav,cat/1-10-9.wav,1,,,,,,,,,0,10,10,6,,['1'],0,[0.30156397819519043],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/10-4-9.wav,cat/13-4-9.wav,1,,,,,,,,,0,11,11,8,,['2'],0,[0.15117287635803223],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/394.wav,cat/349.wav,2,,,,,,,,,0,12,12,1,,"['2', '1']",0,"[0.5518791675567627, 0.5674600601196289]",,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/439.wav,cat/493.wav,2,,,,,,,,,0,13,13,3,,['2'],0,[0.0011990070343017578],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/3-4-20.wav,cat/3-4-18.wav,2,,,,,,,,,0,14,14,25,,['1'],0,[0.8021221160888672],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/4-3-17.wav,cat/4-17-3.wav,2,,,,,,,,,0,15,15,17,,['1'],0,[0.9855279922485352],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/9-10-4.wav,cat/9-4-10.wav,1,,,,,,,,,0,16,16,15,,['2'],0,[0.5016930103302002],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
cat/419.wav,cat/491.wav,2,,,,,,,,,0,17,17,2,,['1'],0,[0.25141000747680664],,,,,,,,2016_Aug_09_1234,59.9340401818,Stat_Cat_Oct,001,128,
