stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
cat/1-23-9.wav,cat/1-14-9.wav,2,,,,,,,,,0,17,17,20,,['2'],0,[1.0857279300689697],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/11-4-9.wav,cat/21-4-9.wav,1,,,,,,,,,0,18,18,9,,['1'],0,[1.0524041652679443],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/934.wav,cat/943.wav,1,,,,,,,,,0,19,19,5,,['1'],0,[2.9543778896331787],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/3-9-14.wav,cat/3-14-9.wav,2,,,,,,,,,0,20,20,26,,['1'],0,[1.1690800189971924],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/1-4-13.wav,cat/1-4-16.wav,2,,,,,,,,,0,21,21,21,,['1'],0,[0.4350440502166748],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/394.wav,cat/349.wav,2,,,,,,,,,0,22,22,1,,None,0,,,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/4-3-17.wav,cat/4-17-3.wav,2,,,,,,,,,0,23,23,17,,['2'],0,[0.9522337913513184],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/3-4-17.wav,cat/3-4-26.wav,1,,,,,,,,,0,24,24,12,,['1'],0,[0.6853880882263184],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/4-18-1.wav,cat/4-1-18.wav,1,,,,,,,,,0,25,25,14,,['2'],0,[1.1525158882141113],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
cat/419.wav,cat/491.wav,2,,,,,,,,,0,26,26,2,,['1'],0,[1.8354790210723877],,,,,,2016_Mar_29_1724,59.930100905,Stat_Cat_Oct,001,102,
