stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,2,0,0.468458890915,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
,,,,,,,,,,,,,,,,,,,space,1.83667492867,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/2.wav,ws/20.wav,1,,,,,0,0,0,1,,,,,None,1,1,0.668658018112,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/25.wav,ws/7.wav,2,,,,,0,1,1,11,,,,,None,2,1,0.71878695488,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/15.wav,ws/6.wav,2,,,,,0,2,2,8,,,,,None,1,0,0.0512199401855,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/5.wav,ws/36.wav,1,,,,,0,3,3,3,,,,,['1'],1,1,0.885524988174,,,[2.420560121536255],,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/5.wav,ws/14.wav,1,,,,,0,4,4,2,,,,,['1'],1,1,0.418215036392,,,[2.90433406829834],,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/23.wav,ws/5.wav,2,,,,,0,5,5,10,,,,,['2'],2,1,0.284726858139,,,[2.637389898300171],,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/30.wav,ws/2.wav,2,,,,,0,6,6,12,,,,,None,2,1,0.234920978546,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/6.wav,ws/32.wav,1,,,,,0,7,7,4,,,,,None,1,1,0.618433952332,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/2.wav,ws/11.wav,1,,,,,0,8,8,0,,,,,None,1,1,0.234795808792,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/17.wav,ws/8.wav,2,,,,,0,9,9,9,,,,,None,1,0,0.284846067429,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/6.wav,ws/24.wav,1,,,,,0,10,10,5,,,,,None,1,1,0.251400947571,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/8.wav,ws/26.wav,1,,,,,0,11,11,7,,,,,None,2,0,1.0357670784,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/35.wav,ws/8.wav,2,,,,,0,12,12,14,,,,,None,2,1,1.30250811577,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/28.wav,ws/7.wav,2,,,,,0,13,13,13,,,,,"['2', '2']",2,1,0.418301105499,,,"[2.4370460510253906, 2.9042840003967285]",,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
ws/7.wav,ws/16.wav,1,,,,,0,14,14,6,,,,,['1'],1,1,0.318141937256,,,[2.6874279975891113],,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
,,,,,,,,,,,,,,,,,,,,,,space,22.709594965,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/2-8-15.wav,cat/2-15-8.wav,2,,,,,,,,,0,0,0,31,,1,0,0.501830101013,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/276.wav,cat/267.wav,2,,,,,,,,,0,1,1,2,,2,1,0.334944963455,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/25-5-8.wav,cat/12-5-8.wav,2,,,,,,,,,0,2,2,32,,2,1,0.284907102585,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/762.wav,cat/726.wav,2,,,,,,,,,0,3,3,9,,1,0,0.301649093628,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/826.wav,cat/862.wav,1,,,,,,,,,0,4,4,11,,2,0,0.384818077087,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/2-6-20.wav,cat/2-6-18.wav,2,,,,,,,,,0,5,5,29,,2,1,0.484951019287,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/2-14-8.wav,cat/2-10-8.wav,1,,,,,,,,,0,6,6,15,,2,0,0.268164873123,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/5-16-2.wav,cat/5-2-16.wav,1,,,,,,,,,0,7,7,19,,1,1,0.00121402740479,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/6-17-2.wav,cat/6-2-17.wav,1,,,,,,,,,0,8,8,20,,2,0,0.201624155045,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
cat/6-18-2.wav,cat/6-2-18.wav,1,,,,,,,,,0,9,9,21,,2,0,0.284786939621,,,,,,,,2016_Jul_27_1417,59.9298440137,Stat_Cat_Oct,001,125,
