,stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,Unnamed: 30,version ,type,type_gen
23,cat/4-18-1.wav,cat/4-1-18.wav,1.0,,,,,,,,,0.0,8.0,8.0,14.0,,['1'],0.0,[1.5887980461120605],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,three_1nov_1cong,cat
24,cat/1-14-9.wav,cat/1-10-9.wav,1.0,,,,,,,,,0.0,9.0,9.0,6.0,,['2'],0.0,[1.8058018684387207],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,three_1nov_1cong,cat
25,cat/3-13-9.wav,cat/3-9-13.wav,1.0,,,,,,,,,0.0,10.0,10.0,10.0,,['2'],0.0,[1.8392961025238037],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,order_TP33,cat
26,cat/439.wav,cat/493.wav,2.0,,,,,,,,,0.0,11.0,11.0,3.0,,['1'],0.0,[0.08356499671936035],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,order_TP33,cat
27,cat/4-16-1.wav,cat/4-1-16.wav,1.0,,,,,,,,,0.0,12.0,12.0,13.0,,['1'],0.0,[2.090500831604004],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,prac,prac
28,cat/914.wav,cat/941.wav,1.0,,,,,,,,,0.0,13.0,13.0,4.0,,['1'],0.0,[0.8702700138092041],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
29,cat/9-10-4.wav,cat/9-4-10.wav,1.0,,,,,,,,,0.0,14.0,14.0,15.0,,['2'],0.0,[3.4936277866363525],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
30,cat/1-4-18.wav,cat/1-4-12.wav,1.0,,,,,,,,,0.0,15.0,15.0,7.0,,['2'],0.0,[0.7859327793121338],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
31,cat/25-4-9.wav,cat/12-4-9.wav,2.0,,,,,,,,,0.0,16.0,16.0,24.0,,['2'],0.0,[1.020470142364502],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,part_w,ws
32,cat/1-23-9.wav,cat/1-14-9.wav,2.0,,,,,,,,,0.0,17.0,17.0,20.0,,['1'],0.0,[0.8347699642181396],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,part_w,ws
33,cat/11-4-9.wav,cat/21-4-9.wav,1.0,,,,,,,,,0.0,18.0,18.0,9.0,,['2'],0.0,[1.1031079292297363],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,part_w,ws
34,cat/4-3-17.wav,cat/4-17-3.wav,2.0,,,,,,,,,0.0,19.0,19.0,17.0,,['1'],0.0,[1.4552321434020996],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,part_w,ws
35,cat/934.wav,cat/943.wav,1.0,,,,,,,,,0.0,20.0,20.0,5.0,,['2'],0.0,[0.3010871410369873],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
36,cat/394.wav,cat/349.wav,2.0,,,,,,,,,0.0,21.0,21.0,1.0,,['1'],0.0,[0.25128698348999023],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
37,cat/3-4-17.wav,cat/3-4-26.wav,1.0,,,,,,,,,0.0,22.0,22.0,12.0,,['1'],0.0,[0.3686671257019043],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
38,cat/9-4-11.wav,cat/9-11-4.wav,2.0,,,,,,,,,0.0,23.0,23.0,18.0,,['1'],0.0,[0.7524380683898926],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
39,cat/3-9-14.wav,cat/3-14-9.wav,2.0,,,,,,,,,0.0,24.0,24.0,26.0,,['1'],0.0,[1.1706619262695312],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,1.0,non_w,ws
40,cat/3-4-20.wav,cat/3-4-18.wav,2.0,,,,,,,,,0.0,25.0,25.0,25.0,,['2'],0.0,[0.4516758918762207],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,,,
41,cat/3-15-9.wav,cat/3-22-9.wav,1.0,,,,,,,,,0.0,26.0,26.0,11.0,,['2'],0.0,[0.9533929824829102],,,,,,,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,space,73.0876729488,2016_Mar_29_1328,59.9021127032,Stat_Cat_Oct,1,100,,,,
