stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,['2'],0,[6.69165301322937],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
,,,,,,,,,,,,,,,,,,,space,9.62844920158,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/4.wav,ws/13.wav,1,,,,,0,0,0,2,,,,,None,['2'],0,[2.1700937747955322],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/9.wav,ws/18.wav,1,,,,,0,1,1,3,,,,,None,['2'],0,[0.635167121887207],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/27.wav,ws/9.wav,2,,,,,0,2,2,11,,,,,None,['1'],0,[0.9022529125213623],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/19.wav,ws/1.wav,2,,,,,0,3,3,6,,,,,None,['2'],0,[1.8531789779663086],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/21.wav,ws/3.wav,2,,,,,0,4,4,8,,,,,None,['2'],0,[3.354879856109619],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/22.wav,ws/4.wav,2,,,,,0,5,5,10,,,,,None,['2'],0,[0.7019789218902588],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/31.wav,ws/4.wav,2,,,,,0,6,6,9,,,,,None,['2'],0,[0.23479199409484863],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/3.wav,ws/29.wav,1,,,,,0,7,7,1,,,,,None,['1'],0,[0.48518991470336914],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/1.wav,ws/10.wav,1,,,,,0,8,8,5,,,,,None,['1'],0,[2.136969804763794],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/1.wav,ws/34.wav,1,,,,,0,9,9,0,,,,,None,['1'],0,[2.2369179725646973],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/12.wav,ws/3.wav,2,,,,,0,10,10,7,,,,,None,['1'],0,[6.7085280418396],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
ws/9.wav,ws/33.wav,1,,,,,0,11,11,4,,,,,None,['2'],0,[2.971112012863159],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
,,,,,,,,,,,,,,,,,,,,,space,9.84522509575,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/25-4-9.wav,cat/12-4-9.wav,2,,,,,,,,,0,0,0,24,,['2'],0,[5.607506036758423],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-4-13.wav,cat/1-4-16.wav,2,,,,,,,,,0,1,1,21,,['1'],0,[1.519624948501587],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-9-15.wav,cat/1-15-9.wav,2,,,,,,,,,0,2,2,22,,['2'],0,[3.6552131175994873],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/3-9-14.wav,cat/3-14-9.wav,2,,,,,,,,,0,3,3,26,,['1'],0,[10.14545488357544],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/149.wav,cat/194.wav,1,,,,,,,,,0,4,4,0,,['2'],0,[7.025601148605347],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/914.wav,cat/941.wav,1,,,,,,,,,0,5,5,4,,['1'],0,[2.4539430141448975],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/16-4-9.wav,cat/11-4-9.wav,2,,,,,,,,,0,6,6,23,,['1'],0,[1.1191480159759521],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/4-18-1.wav,cat/4-1-18.wav,1,,,,,,,,,0,7,7,14,,['1'],0,[4.58951997756958],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/934.wav,cat/943.wav,1,,,,,,,,,0,8,8,5,,['1'],0,[0.9188990592956543],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/9-4-11.wav,cat/9-11-4.wav,2,,,,,,,,,0,9,9,18,,['1'],0,[2.553950071334839],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/3-4-20.wav,cat/3-4-18.wav,2,,,,,,,,,0,10,10,25,,['2'],0,[1.9535410404205322],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/3-15-9.wav,cat/3-22-9.wav,1,,,,,,,,,0,11,11,11,,['1'],0,[6.091299057006836],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/394.wav,cat/349.wav,2,,,,,,,,,0,12,12,1,,['1'],0,[4.005670070648193],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/10-4-9.wav,cat/13-4-9.wav,1,,,,,,,,,0,13,13,8,,['2'],0,[1.8699309825897217],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-4-18.wav,cat/1-4-12.wav,1,,,,,,,,,0,14,14,7,,['1'],0,[4.78982400894165],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/9-12-4.wav,cat/9-4-12.wav,1,,,,,,,,,0,15,15,16,,['2'],0,[5.857614994049072],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-17-9.wav,cat/1-15-9.wav,2,,,,,,,,,0,16,16,19,,['2'],0,[0.7519540786743164],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-14-9.wav,cat/1-10-9.wav,1,,,,,,,,,0,17,17,6,,['2'],0,[2.4706950187683105],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/1-23-9.wav,cat/1-14-9.wav,2,,,,,,,,,0,18,18,20,,['1'],0,[4.5895960330963135],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/419.wav,cat/491.wav,2,,,,,,,,,0,19,19,2,,['2'],0,[5.524016857147217],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/9-10-4.wav,cat/9-4-10.wav,1,,,,,,,,,0,20,20,15,,['2'],0,[2.8376271724700928],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/439.wav,cat/493.wav,2,,,,,,,,,0,21,21,3,,['1'],0,[0.6686050891876221],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/4-16-1.wav,cat/4-1-16.wav,1,,,,,,,,,0,22,22,13,,['1'],0,[1.3694751262664795],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/11-4-9.wav,cat/21-4-9.wav,1,,,,,,,,,0,23,23,9,,['1'],0,[3.3048579692840576],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/3-13-9.wav,cat/3-9-13.wav,1,,,,,,,,,0,24,24,10,,['1'],0,[1.4017260074615479],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/4-3-17.wav,cat/4-17-3.wav,2,,,,,,,,,0,25,25,17,,['1'],0,[1.3861401081085205],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
cat/3-4-17.wav,cat/3-4-26.wav,1,,,,,,,,,0,26,26,12,,['2'],0,[0.7353310585021973],,,,,,,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
,,,,,,,,,,,,,,,,,,,,,,,space,8.71074700356,2016_Jul_21_1414,59.9348109704,Stat_Cat_Oct,001,121,
