Unnamed: 29,Unnamed: 30,Unnamed: 31,cat.thisIndex,cat.thisN,cat.thisRepN,cat.thisTrialN,correct,date,expName,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.corr,key_resp_9.keys,key_resp_9.rt,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,session,stim1,stim2,ws.thisIndex,ws.thisN,ws.thisRepN,ws.thisTrialN
,,,13.0,12.0,0.0,12.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[2.090500831604004],100,,,,,1,cat/4-16-1.wav,cat/4-1-16.wav,,,,
,,,4.0,13.0,0.0,13.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[0.8702700138092041],100,,,,,1,cat/914.wav,cat/941.wav,,,,
,,,15.0,14.0,0.0,14.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[3.4936277866363525],100,,,,,1,cat/9-10-4.wav,cat/9-4-10.wav,,,,
,,,7.0,15.0,0.0,15.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[0.7859327793121338],100,,,,,1,cat/1-4-18.wav,cat/1-4-12.wav,,,,
,,,24.0,16.0,0.0,16.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[1.020470142364502],100,,,,,1,cat/25-4-9.wav,cat/12-4-9.wav,,,,
,,,20.0,17.0,0.0,17.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[0.8347699642181396],100,,,,,1,cat/1-23-9.wav,cat/1-14-9.wav,,,,
,,,9.0,18.0,0.0,18.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[1.1031079292297363],100,,,,,1,cat/11-4-9.wav,cat/21-4-9.wav,,,,
,,,17.0,19.0,0.0,19.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[1.4552321434020996],100,,,,,1,cat/4-3-17.wav,cat/4-17-3.wav,,,,
,,,5.0,20.0,0.0,20.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[0.3010871410369873],100,,,,,1,cat/934.wav,cat/943.wav,,,,
,,,1.0,21.0,0.0,21.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[0.25128698348999023],100,,,,,1,cat/394.wav,cat/349.wav,,,,
,,,12.0,22.0,0.0,22.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[0.3686671257019043],100,,,,,1,cat/3-4-17.wav,cat/3-4-26.wav,,,,
,,,18.0,23.0,0.0,23.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[0.7524380683898926],100,,,,,1,cat/9-4-11.wav,cat/9-11-4.wav,,,,
,,,26.0,24.0,0.0,24.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['1'],[1.1706619262695312],100,,,,,1,cat/3-9-14.wav,cat/3-14-9.wav,,,,
,,,25.0,25.0,0.0,25.0,2.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[0.4516758918762207],100,,,,,1,cat/3-4-20.wav,cat/3-4-18.wav,,,,
,,,11.0,26.0,0.0,26.0,1.0,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,,,0.0,['2'],[0.9533929824829102],100,,,,,1,cat/3-15-9.wav,cat/3-22-9.wav,,,,
,,,,,,,,2016_Mar_29_1328,Stat_Cat_Oct,59.9021127032,,,,,,,space,73.0876729488,,,,100,,,,,1,,,,,,
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,0.368338823318,101,0.0,0.0,0.0,0.0,1,prac1.wav,prac2.wav,,,,
,,,,,,,,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,,,space,3.95572304726,,,,,,,,101,,,,,1,,,,,,
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,0.0,1,5.09011697769,101,,,,,1,ws/15.wav,ws/6.wav,8.0,0.0,0.0,0.0
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,2,3.7552111148800003,101,,,,,1,ws/28.wav,ws/7.wav,13.0,1.0,0.0,1.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,2.2536129951499997,101,,,,,1,ws/7.wav,ws/16.wav,6.0,2.0,0.0,2.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,['2'],[2.6698050498962402],,,,,,,0.0,2,0.651822805405,101,,,,,1,ws/5.wav,ws/14.wav,2.0,3.0,0.0,3.0
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,0.0,1,0.00122809410095,101,,,,,1,ws/23.wav,ws/5.wav,10.0,4.0,0.0,4.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,['1'],[2.87096905708313],,,,,,,1.0,1,0.585192918777,101,,,,,1,ws/2.wav,ws/11.wav,0.0,5.0,0.0,5.0
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,['1'],[2.620626926422119],,,,,,,0.0,1,0.117831945419,101,,,,,1,ws/25.wav,ws/7.wav,11.0,6.0,0.0,6.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,['2'],[2.620767831802368],,,,,,,0.0,2,0.18449401855500003,101,,,,,1,ws/8.wav,ws/26.wav,7.0,7.0,0.0,7.0
,,,,,,,1.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,None,,,,,,,,1.0,1,0.35154294967699995,101,,,,,1,ws/5.wav,ws/36.wav,3.0,8.0,0.0,8.0
,,,,,,,2.0,2016_Mar_29_1623,Stat_Cat_Oct,59.9452613947,['1'],[2.78764009475708],,,,,,,0.0,1,0.33483695983899997,101,,,,,1,ws/35.wav,ws/8.wav,14.0,9.0,0.0,9.0
