stim1,stim2,correct,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,ws.thisRepN,ws.thisTrialN,ws.thisN,ws.thisIndex,cat.thisRepN,cat.thisTrialN,cat.thisN,cat.thisIndex,key_resp_2.keys,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
prac1.wav,prac2.wav,1,0,0,0,0,,,,,,,,,None,1,1,5.80749487877,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
,,,,,,,,,,,,,,,,,,,space,12.6483831406,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/30.wav,ws/2.wav,2,,,,,0,0,0,12,,,,,None,1,0,1.06901788712,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/5.wav,ws/36.wav,1,,,,,0,1,1,3,,,,,None,2,0,0.651996850967,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/17.wav,ws/8.wav,2,,,,,0,2,2,9,,,,,None,2,1,4.45598006248,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/23.wav,ws/5.wav,2,,,,,0,3,3,10,,,,,None,1,0,1.83658599854,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/15.wav,ws/6.wav,2,,,,,0,4,4,8,,,,,None,2,1,0.284920930862,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/25.wav,ws/7.wav,2,,,,,0,5,5,11,,,,,['1'],None,0,,,,[2.837881088256836],,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/6.wav,ws/32.wav,1,,,,,0,6,6,4,,,,,None,1,1,0.468575954437,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/5.wav,ws/14.wav,1,,,,,0,7,7,2,,,,,None,2,0,0.368293046951,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/7.wav,ws/16.wav,1,,,,,0,8,8,6,,,,,None,2,0,2.9710149765,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/2.wav,ws/11.wav,1,,,,,0,9,9,0,,,,,None,1,1,0.368262052536,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/2.wav,ws/20.wav,1,,,,,0,10,10,1,,,,,None,1,1,4.4059650898,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/35.wav,ws/8.wav,2,,,,,0,11,11,14,,,,,None,1,0,1.61984086037,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/6.wav,ws/24.wav,1,,,,,0,12,12,5,,,,,['1'],1,1,0.434965848923,,,[2.7875819206237793],,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/28.wav,ws/7.wav,2,,,,,0,13,13,13,,,,,None,2,1,0.234719991684,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
ws/8.wav,ws/26.wav,1,,,,,0,14,14,7,,,,,None,1,1,0.518367052078,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
,,,,,,,,,,,,,,,,,,,,,,space,5.39045500755,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/8-12-5.wav,cat/8-5-12.wav,1,,,,,,,,,0,0,0,24,,1,1,0.551836013794,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/528.wav,cat/582.wav,2,,,,,,,,,0,1,1,5,,2,1,2.43696093559,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-6-26.wav,cat/2-6-17.wav,2,,,,,,,,,0,2,2,18,,1,0,0.802147865295,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/826.wav,cat/862.wav,1,,,,,,,,,0,3,3,11,,1,1,0.985667943954,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-8-15.wav,cat/2-15-8.wav,2,,,,,,,,,0,4,4,31,,1,0,0.68529009819,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/8-6-11.wav,cat/8-11-6.wav,2,,,,,,,,,0,5,5,23,,1,0,0.551711082458,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-5-13.wav,cat/2-5-16.wav,2,,,,,,,,,0,6,6,28,,1,0,1.23613810539,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/7-5-10.wav,cat/7-10-5.wav,2,,,,,,,,,0,7,7,22,,1,0,1.95346403122,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-5-18.wav,cat/2-5-12.wav,1,,,,,,,,,0,8,8,17,,2,0,2.0367000103,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-15-7.wav,cat/2-22-7.wav,1,,,,,,,,,0,9,9,16,,2,0,0.73557806015,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-17-7.wav,cat/2-15-7.wav,2,,,,,,,,,0,10,10,26,,2,1,1.80324482918,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/6-17-2.wav,cat/6-2-17.wav,1,,,,,,,,,0,11,11,20,,2,0,1.97015786171,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/852.wav,cat/825.wav,2,,,,,,,,,0,12,12,10,,2,1,0.902179002762,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/268.wav,cat/286.wav,1,,,,,,,,,0,13,13,3,,1,1,1.3692419529,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/572.wav,cat/527.wav,1,,,,,,,,,0,14,14,4,,2,0,0.318170070648,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
cat/2-23-8.wav,cat/2-14-8.wav,2,,,,,,,,,0,15,15,27,,1,0,0.368320941925,,,,,,,,2016_May_26_1424,59.9325843018,Stat_Cat_Oct,001,107,
