numb_back,order_set,img_numb,response,repeat_img,repeat_pos,lure,lure_kind,answer,time,file
2,7,7,0,,1,0,,1,0.000929832458496,2_6.txt
2,7,3,0,,2,0,,0,,2_6.txt
2,7,7,1,7,3,0,,1,0.0180418491364,2_6.txt
2,7,5,0,,4,0,,0,,2_6.txt
2,7,6,0,,5,0,,0,,2_6.txt
2,7,2,0,,6,0,,0,,2_6.txt
2,7,6,1,6,7,0,,1,0.16806602478,2_6.txt
2,7,4,0,,8,0,,0,,2_6.txt
2,7,3,0,,9,0,,1,0.134734869003,2_6.txt
2,7,4,1,4,10,0,,0,,2_6.txt
2,7,8,0,,11,0,,0,,2_6.txt
2,7,5,0,,12,0,,1,0.0178620815277,2_6.txt
2,7,1,0,,13,0,,0,,2_6.txt
2,7,5,1,5,14,0,,0,,2_6.txt
2,7,8,0,,15,0,,0,,2_6.txt
2,7,3,0,,16,0,,0,,2_6.txt
2,7,8,0,8,17,0,,1,0.251423835754,2_6.txt
2,7,1,1,,18,0,,0,,2_6.txt
2,7,2,0,,19,0,,0,,2_6.txt
2,7,1,0,1,20,0,,1,0.167741060257,2_6.txt
2,7,4,0,,21,0,,0,,2_6.txt
2,7,2,1,,22,0,,0,,2_6.txt
1,6,2,0,,1,0,,0,,1_5.txt
1,6,5,0,,2,0,,0,,1_5.txt
1,6,5,1,5,3,0,,0,,1_5.txt
1,6,2,0,,4,0,,0,,1_5.txt
1,6,8,0,,5,0,,0,,1_5.txt
1,6,6,0,,6,0,,0,,1_5.txt
1,6,6,1,6,7,0,,1,0.384797811508,1_5.txt
1,6,8,0,,8,0,,0,,1_5.txt
1,6,4,0,,9,0,,0,,1_5.txt
1,6,1,0,,10,0,,0,,1_5.txt
1,6,1,1,1,11,0,,1,0.00105500221252,1_5.txt
1,6,5,0,,12,0,,0,,1_5.txt
1,6,7,0,,13,0,,0,,1_5.txt
1,6,7,1,7,14,0,,1,0.00109100341797,1_5.txt
1,6,2,0,,15,0,,0,,1_5.txt
1,6,3,0,,16,0,,0,,1_5.txt
